ID,Severity,Start_Time,Start_Lat,Start_Lng,City,State,Weather_Condition,Temperature(F),Visibility(mi),Junction,Traffic_Signal,Hour,Day_of_Week
A-1,3,2016-02-08 00:37:08,40.10891,-83.09286,Dublin,OH,Light Rain,42.1,10.0,False,False,0,Monday
A-2,2,2016-02-08 05:56:20,39.86542,-84.0628,Dayton,OH,Light Rain,36.9,10.0,False,False,5,Monday
A-3,2,2016-02-08 06:15:39,39.10266,-84.52468,Cincinnati,OH,Overcast,36.0,10.0,True,False,6,Monday
A-4,2,2016-02-08 06:51:45,41.06213,-81.53784,Akron,OH,Overcast,39.0,10.0,False,False,6,Monday
A-5,3,2016-02-08 07:53:43,39.172393,-84.49279200000002,Cincinnati,OH,Light Rain,37.0,10.0,False,False,7,Monday
A-6,2,2016-02-08 08:16:57,39.06324,-84.03243,Williamsburg,OH,Overcast,35.6,10.0,False,True,8,Monday
A-7,2,2016-02-08 08:15:41,39.77565,-84.18603,Dayton,OH,Mostly Cloudy,33.8,3.0,False,False,8,Monday
A-8,2,2016-02-08 11:51:46,41.37531,-81.82016999999998,Cleveland,OH,Snow,33.1,0.5,True,False,11,Monday
A-9,2,2016-02-08 14:19:57,40.702247,-84.075887,Lima,OH,Overcast,39.0,10.0,False,False,14,Monday
A-10,2,2016-02-08 15:16:43,40.10931,-82.96849,Westerville,OH,Snow,32.0,0.5,False,False,15,Monday
A-11,2,2016-02-08 15:43:50,39.19288,-84.47723,Cincinnati,OH,Light Snow,33.8,3.0,False,False,15,Monday
A-12,2,2016-02-08 16:50:57,39.13877,-84.53394,Cincinnati,OH,Overcast,35.1,10.0,False,True,16,Monday
A-13,2,2016-02-08 17:27:39,41.4739,-81.704233,Cleveland,OH,Light Snow,33.1,1.8,False,False,17,Monday
A-14,2,2016-02-08 17:30:18,39.582242,-83.677814,Jamestown,OH,Light Snow,33.8,1.0,False,False,17,Monday
A-15,3,2016-02-08 18:11:11,40.151785,-81.312635,Freeport,OH,Mostly Cloudy,33.1,10.0,False,False,18,Monday
A-16,3,2016-02-08 18:11:11,40.151747,-81.312682,Freeport,OH,Mostly Cloudy,33.1,10.0,False,False,18,Monday
A-17,3,2016-02-08 19:47:42,39.97241,-82.84695,Columbus,OH,Overcast,34.0,6.0,False,False,19,Monday
A-18,2,2016-02-08 19:47:42,39.9838,-82.85656999999998,Columbus,OH,Overcast,34.0,6.0,False,False,19,Monday
A-19,3,2016-02-08 20:13:22,40.02664,-82.9944,Columbus,OH,Light Snow,33.8,1.0,False,False,20,Monday
A-20,4,2016-02-08 21:00:17,41.679361,-83.573037,Toledo,OH,Overcast,33.4,10.0,False,False,21,Monday
A-21,2,2016-02-08 21:10:10,40.99613,-85.26613,Roanoke,IN,Light Snow,28.0,8.0,False,False,21,Monday
A-22,3,2016-02-08 21:30:31,39.0381,-84.59243000000002,Ft Mitchell,KY,Light Snow,26.6,3.0,False,False,21,Monday
A-23,2,2016-02-09 05:54:01,40.03386,-82.99601,Columbus,OH,Light Snow,25.0,1.0,False,False,5,Tuesday
